Nome,Depth,i,Seed,Melhor_fitness,Numero_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,13,28,1258360497,36,442885,37330,50459,false
aman-aplan,13,29,7965023841,35,479534,37789,48350,false
aman-aplan,15,1,4105328976,36,277515,23955,51716,false
aman-aplan,15,1,6370951248,36,535508,41731,47243,false
aman-aplan,15,2,9431657082,36,313985,25997,50494,false
aman-aplan,15,3,1874029365,36,465788,36285,46373,false
aman-aplan,15,4,5691784320,37,377179,32857,55255,false
aman-aplan,15,5,8392760514,36,540707,47840,53464,false
aman-aplan,15,6,4612780539,35,181247,12980,47484,false
aman-aplan,15,7,8261384957,36,477516,45272,55313,false
aman-aplan,15,8,2463075891,36,431743,35406,49790,false
aman-aplan,15,9,9135874206,35,152967,12422,50501,false
aman-aplan,15,10,7095231486,37,313965,27313,50806,false
aman-aplan,15,11,9842301657,36,229881,19354,49720,false
aman-aplan,15,12,2196735084,36,454181,38092,50542,false
aman-aplan,15,13,9067852413,36,328761,27029,49763,false
aman-aplan,15,14,2405681973,35,220698,17099,47657,false
aman-aplan,15,15,2738495106,36,96504,7323,51516,false
aman-aplan,15,16,1069782534,37,161461,13357,47860,false
aman-aplan,15,17,3018795246,35,432512,38480,51477,false
aman-aplan,15,18,1736058429,36,102719,10360,49884,false
aman-aplan,15,19,6087432195,36,288089,22791,49726,false
aman-aplan,15,20,4925731068,36,123755,9386,50152,false
aman-aplan,15,21,3486027915,35,190338,16177,50715,false
aman-aplan,15,22,6941372580,35,532043,49087,54521,false
aman-aplan,15,23,1068243795,35,460646,40886,52441,false
aman-aplan,15,24,1764028593,37,203480,18457,50405,false
aman-aplan,15,25,3857069214,35,133064,10422,50648,false
aman-aplan,15,26,9125784630,35,109615,8916,48604,false
aman-aplan,15,27,7914823056,37,391512,31944,49421,false
aman-aplan,15,28,1258360497,36,354695,27149,47845,false
aman-aplan,15,29,7965023841,36,257409,21099,47810,false
four,5,1,4105328976,38,586089,42497,43939,false
four,5,1,6370951248,39,204669,14027,41174,false
four,5,2,9431657082,38,495786,34101,40868,false
four,5,3,1874029365,38,315476,22058,45667,false
four,5,4,5691784320,39,252070,17900,44495,false
four,5,5,8392760514,39,562603,35358,38195,false
four,5,6,4612780539,39,502335,32836,41552,false
four,5,7,8261384957,37,127802,7546,36399,false
four,5,8,2463075891,38,477805,31911,39902,false
four,5,9,9135874206,38,585666,39959,40873,false
four,5,10,7095231486,38,412740,27445,38134,false
four,5,11,9842301657,39,209992,12023,38580,false
four,5,12,2196735084,38,398378,26548,39231,false
four,5,13,9067852413,39,227441,13570,40098,false
four,5,14,2405681973,37,528250,36144,39875,false
four,5,15,2738495106,37,51319,2675,38899,false
four,5,16,1069782534,41,464617,34836,43392,false
four,5,17,3018795246,39,155879,10048,42225,false
four,5,18,1736058429,39,195927,13763,39910,false
four,5,19,6087432195,38,533137,37969,42355,false
four,5,20,4925731068,38,27628,1691,39815,false
four,5,21,3486027915,38,157226,10194,46097,false
four,5,22,6941372580,39,208159,13778,37582,false
four,5,23,1068243795,38,318599,20495,41427,false
four,5,24,1764028593,37,575177,34604,36644,false
four,5,25,3857069214,38,452686,33388,45043,false
four,5,26,9125784630,38,458416,29166,39089,false
four,5,27,7914823056,38,38536,3906,40786,false
four,5,28,1258360497,38,439850,31564,42234,false
four,5,29,7965023841,40,253948,19184,39902,false
four,7,1,4105328976,38,269916,20059,43314,false
four,7,1,6370951248,38,472936,36886,46415,false
four,7,2,9431657082,39,76350,6379,45138,false
four,7,3,1874029365,38,309709,20849,45028,false
four,7,4,5691784320,38,211511,14967,43163,false
four,7,5,8392760514,39,552601,33550,37574,false
four,7,6,4612780539,39,499329,33798,42756,false
four,7,7,8261384957,37,264818,19711,40544,false
four,7,8,2463075891,38,468168,31676,39839,false
four,7,9,9135874206,38,568622,36911,38925,false
four,7,10,7095231486,37,526704,33700,38183,false
four,7,11,9842301657,38,436185,26131,39017,false
four,7,12,2196735084,40,310366,20480,39928,false
four,7,13,9067852413,38,285222,17635,41537,false
four,7,14,2405681973,38,247901,15942,37601,false
four,7,15,2738495106,39,62143,5042,39325,false
four,7,16,1069782534,38,208038,18436,44297,false
four,7,17,3018795246,39,165934,10705,41895,false
four,7,18,1736058429,39,66711,5313,46770,false
four,7,19,6087432195,38,553817,40096,43134,false
four,7,20,4925731068,37,410314,25508,38061,false
four,7,21,3486027915,37,440386,28660,38975,false
four,7,22,6941372580,39,599167,37743,37951,false
four,7,23,1068243795,38,377598,32111,46447,false
four,7,24,1764028593,38,398664,27596,39788,false
four,7,25,3857069214,38,499842,36723,45567,false
four,7,26,9125784630,38,515489,34678,39808,false
four,7,27,7914823056,37,211185,12755,39300,false
four,7,28,1258360497,38,414619,29798,42087,false
four,7,29,7965023841,40,225361,16762,39776,false
four,9,1,4105328976,38,187373,13382,44715,false
four,9,1,6370951248,39,210802,14934,41315,false
four,9,2,9431657082,38,27384,2390,44074,false
four,9,3,1874029365,38,575075,46348,48134,false
four,9,4,5691784320,38,304315,31717,53879,false
four,9,5,8392760514,39,326388,22700,44995,false
four,9,6,4612780539,39,483687,31198,40859,false
four,9,7,8261384957,37,236296,13621,35908,false
four,9,8,2463075891,38,476781,33064,40781,false
four,9,9,9135874206,38,551611,36167,39158,false
four,9,10,7095231486,38,420829,27913,38218,false
four,9,11,9842301657,39,204901,11862,38634,false
four,9,12,2196735084,38,64688,4259,40488,false
four,9,13,9067852413,39,236654,14799,40041,false
four,9,14,2405681973,37,522990,35737,39727,false
four,9,15,2738495106,37,81058,4813,39349,false
four,9,16,1069782534,41,450685,32843,42437,false
four,9,17,3018795246,37,542306,36118,39372,false
four,9,18,1736058429,39,186248,13082,39614,false
four,9,19,6087432195,38,537222,36818,41017,false
four,9,20,4925731068,37,385094,24702,39105,false
four,9,21,3486027915,38,398937,32735,48433,false
four,9,22,6941372580,38,443076,29185,40653,false
four,9,23,1068243795,38,315177,20181,41501,false
four,9,24,1764028593,37,542769,33383,37360,false
four,9,25,3857069214,38,446783,31440,43253,false
four,9,26,9125784630,38,500953,31035,37515,false
four,9,27,7914823056,37,280706,17607,39112,false
four,9,28,1258360497,38,596154,43427,43745,false
four,9,29,7965023841,39,144602,10565,41183,false
four,11,1,4105328976,38,269465,19524,42407,false
four,11,1,6370951248,39,230055,19217,44547,false
four,11,2,9431657082,38,448566,30456,40781,false
four,11,3,1874029365,38,320563,24404,47736,false
four,11,4,5691784320,38,201688,14565,44062,false
four,11,5,8392760514,39,292293,18683,43701,false
