Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
abba,5,1,5600405384,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,528,117913,true
abba,5,2,1632819610,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,562,149006,true
abba,5,3,1412034944,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,559,226765,true
abba,5,4,9724161943,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,562,43154,false
abba,5,5,4037724866,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,566,115075,true
abba,5,6,8370032799,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,558,184002,true
abba,5,7,2767986875,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,542,71534,true
abba,5,8,3141506592,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,550,37923,false
abba,5,9,3313543896,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,531,37261,false
abba,5,10,8657690939,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,1,568,146864,true
abba,5,11,9696640194,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,1,555,238752,true
abba,5,12,6621545651,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,542,39695,false
abba,5,13,2492462788,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,1,552,134414,true
abba,5,14,3404588599,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,524,279862,true
abba,5,15,2330977742,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,569,67448,true
abba,5,16,6361187489,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,537,239597,true
abba,5,17,2805026820,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,560,151070,true
abba,5,18,4323456912,.u|.hi|te|z|gy|t$|rs|rit,.u|.hi|te|z|gy|t$|rs|rit,21,43,1,0,555,164076,true
