Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Nossa_fitness,Numero_de_comparacoes,Tempo_avaliacao,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
aman-aplan,5,1,5600405384,[n-x][a-e][l-t]$|[a-r]([a-o])\1,[n-x][a-e][l-t]$|[a-r]([a-o])\#,15,36,245834,1,81683,175198,true
triples,5,3,1412034944,[01](7|5|0)[0-6]|5*^[34][0-6]|7[0-6]$\1,[01](7|5|0)[0-6]|5*^[34][0-6]|7[0-6]$\#,12,33,471482,0,274644,512588,true
aman-aplan,5,2,1632819610,^r|mu|[^n]k|e[d-t]$,^r|mu|[^n]k|e[d-t]$,12,33,300352,0,27173,57647,false
ranges,5,1,5600405384,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,23251,0,4073,186503,true
triples,5,4,9724161943,5[1-5][0-8]|0[012]|5[0-7][0-8]$,5[1-5][0-8]|0[012]|5[0-7][0-8]$,12,33,595044,0,141144,144378,true
powers,5,5,4037724866,^x?x$,^x?x$,2,13,444972,0,598212,743292,true
aman-aplan,5,3,1412034944,[^n](k|v|d)|\b[n-t][e-o]\1,[^n](k|v|d)|\b[n-t][e-o]\#,14,35,207099,0,37627,196641,true
aman-aplan,5,4,9724161943,x|^t|l[l-r][a-o]|k[e-r]|\br|[a-d]$,x|^t|l[l-r][a-o]|k[e-r]|\br|[a-d]$,15,36,203488,0,15247,58218,false
ranges,5,2,1632819610,^[a-f]\w[a-f][a-f],^[a-f]\w[a-f][a-f],21,42,446742,0,203828,235719,true
aman-aplan,5,5,4037724866,^[h-k]|v|d|^r|[rs]e|et,^[h-k]|v|d|^r|[rs]e|et,11,32,145226,1,11877,64432,true
ranges,5,3,1412034944,^[a-f]*$,^[a-f]*$,21,42,433712,0,117799,175834,true
triples,5,5,4037724866,[0-6][01]2|5^0|[01]0[2-9]|5[1-7][0-8]+$,[0-6][01]2|5^0|[01]0[2-9]|5[1-7][0-8]+$,14,35,311825,0,187415,400831,true
ranges,5,4,9724161943,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,9192,0,2012,144175,true
aman-aplan,5,6,8370032799,^[e-n][a-v]|s^e|[e-i]\w$,^[e-n][a-v]|s^e|[e-i]\w$,11,32,196125,0,16177,314685,true
aman-aplan,5,7,2767986875,^t|^[i-m]|x|oo|\br|[a-d]$,^t|[i-m]|x|oo|\br|[a-d]$,16,37,124866,0,9644,58624,false
aman-aplan,5,8,3141506592,nx|^^^[i-n]|^[rst][e-o]|[a-d]$,nx|^[i-n]|^[rst][e-o]|[a-d]$,15,36,484529,0,43049,52156,false
powers,5,6,8370032799,^x?x$,^x?x$,2,13,599024,0,639840,640701,true
ranges,5,5,4037724866,^[a-f]+\b,^[a-f]+\b,21,42,209847,0,39572,202736,true
triples,5,6,8370032799,4\w[0-3]|[0-6]06*[0-6]\b|75,4\w[0-3]|[0-6]06*[0-6]\b|75,13,34,417958,0,269802,347161,true
triples,5,7,2767986875,[^175][01]2|4^|[3-9]5[1-8][0-7]|^14|00[0-9]$,[^175][01]2|4^|[3-9]5[1-8][0-7]|^14|00[0-9]$,17,38,257106,0,51782,146780,true
ranges,5,6,8370032799,^ed$|^[a-f]*$,^ed|^[a-f]*$,21,42,288550,0,83990,257292,true
ranges,5,7,2767986875,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,272088,0,59469,135225,true
aman-aplan,5,9,3313543896,(t^d|[a-l]|[o-r]|o$)\1[a-n]v|,(t^d|[a-l]|[o-r]|o$)\#[a-n]v|,11,32,239139,0,273456,465496,true
triples,5,8,3141506592,50$|4\w[0-4]|^06|[0-7][0-7][2-6]$,50$|4\w[0-4]|^06|[0-7][0-7][2-6]$,13,34,222822,0,41830,263792,true
aman-aplan,5,10,8657690939,^[i-n]|^b|r[de]|[n-r][e-o]t|x|[a-d]$,^[i-n]|^b|r[de]|[n-r][e-o]t|x|[a-d]$,14,35,241071,0,20210,67789,true
aman-aplan,5,11,9696640194,x|^t|^[i-n]|^r|[a-d]$,x|^t|[i-n]|^r|[a-d]$,14,35,172745,0,11740,49048,false
powers,5,7,2767986875,x*(^x*x?x?x?)\1$,x*(^x*x?x?x?)\1$,6,17,492354,2,457683,558994,true
aman-aplan,5,12,6621545651,x|^r|^t|^[i-n]|[a-d]$,x|^r|^t|^[i-n]|[a-d]$,14,35,533328,0,41667,46710,false
aman-aplan,5,13,2492462788,^x|t|k|^r|vn|[a-d]$,^x|t|k|r|vn|[a-d]$,12,33,550521,0,39684,45049,false
ranges,5,8,3141506592,\b[a-f]+$,\b[a-f]+$,21,42,451170,1,216163,264824,true
aman-aplan,5,14,3404588599,^r|^t|^[h-k]|x|v|d|oo,^r|t|[h-k]|x|v|d|oo,14,35,186797,0,12787,58522,false
aman-aplan,5,15,2330977742,dt|^[i-n]|\b[n-t][e-o]|[a-d]$,dt|^[i-n]|\b[n-t][e-o]|[a-d]$,15,36,313006,0,23842,60656,true
triples,5,9,3313543896,5[0-7][0-8]|0[012],5[0-7][0-8]|0[012],11,32,472788,0,268793,294778,true
aman-aplan,5,16,6361187489,^m|^k|\b[^d]e|ot|oo|[a-d]$,^m|k|\b[^d]e|ot|oo|[a-d]$,17,38,385029,0,34987,63615,true
aman-aplan,5,17,2805026820,x|^t|^[i-n]|\br|[a-d]$,x|^t|[i-n]|\br|[a-d]$,14,35,501230,0,95561,107781,true
triples,5,10,8657690939,0[012]|5[0-8][0-7],0[012]|5[0-8][0-7],11,32,128462,0,17871,175261,true
ranges,5,9,3313543896,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,32944,0,6909,251210,true
aman-aplan,5,18,4323456912,^r|^t|^[i-n]|x|hir|[a-d]$,^r|t|[i-n]|x|hir|[a-d]$,14,35,396003,0,36385,57871,false
aman-aplan,5,19,8361101999,x|^t|^[i-n]|\br|[a-d]$,x|^t|^[i-n]|\br|[a-d]$,14,35,92055,0,6330,48820,false
ranges,5,10,8657690939,[a-f][a-e]\w[a-f],[a-f][a-e]\w[a-f],21,42,419148,0,105352,149335,true
triples,5,11,9696640194,1[012]4|5[45]|00|4[0-7]2|[0-7][0-4][0-8][5-8][0-7][2-6]$,1[012]4|5[45]|00|4[0-7]2|[0-7][0-4][0-8][5-8][0-7][2-6]$,16,37,200261,0,50802,190305,true
aman-aplan,5,20,9935136846,^[i-n]|^[i-t][e-o]|[a-d]$,^[i-n]|^[i-t][e-o]|[a-d]$,15,36,159804,1,11029,160960,true
ranges,5,11,9696640194,[a-f]\w[a-f][a-f]$,[a-f]\w[a-f][a-f]$,21,42,11008,0,2026,149131,true
powers,5,8,3141506592,^x?x$,^x?x$,2,13,353410,0,328898,691833,true
aman-aplan,5,21,5217407358,[k-x][a-o]\w$|[a-d]$,[k-x][a-o]\w|[a-d]$,15,36,338164,0,27506,70079,true
aman-aplan,5,22,5619256299,x|^r|^t|^k|v|d|^[n-t]oo|\bh[^c]l|cxu,x|^r|t|k|v|d|^[n-t]oo|\bh[^c]l|cxu,15,36,492120,0,67947,86311,true
ranges,5,12,6621545651,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,453954,0,126289,157247,true
triples,5,12,6621545651,7[45]|^0|9[01]|2[234],7[45]|^0|9[01]|2[234],12,33,451523,0,114715,304633,true
aman-aplan,5,23,4560422870,x|m^u^t|^[h-k]|v|d|[n-t][e-r][e-t]$,x|m^u^t|^[h-k]|v|d|[n-t][e-r][e-t]$,14,35,433789,0,40853,71523,true
aman-aplan,5,24,5236888092,^r|oo|a[h-k]|[vwx]b|e[e-t]\b|rd|[a-d]$,^r|oo|a[h-k]|[vwx]b|e[e-t]\b|rd|[a-d]$,16,37,176727,0,22008,77280,true
aman-aplan,5,25,1337360711,^r|^k|oo|[rs]^e|mu|e^e|\b[^d]e|[a-d]$,^r|^k|oo|[rs]^e|mu|e^e|\b[^d]e|[a-d]$,17,38,386955,0,52072,84594,true
aman-aplan,5,26,7659837985,^r|^[e-k]|v|d|[e-r][st]\b,^r|[e-k]|v|d|[e-r][st]\b,13,34,110847,0,8477,74528,true
ranges,5,13,2492462788,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,45001,0,26585,284482,true
aman-aplan,5,27,2521100877,^r|^t|^[h-k]|d|[vwx][e-l],^r|t|[h-k]|d|[vwx][e-l],12,33,174505,0,15194,70440,true
triples,5,13,2492462788,2[^]4^0|[0-3][0-3]9|[0-3][4-9]*[2-7]4|[0-7][0-7][0-6]$,2.4^0|[0-3][0-3]9|[0-3][4-9]*[2-7]4|[0-7][0-7][0-6]$,13,34,340779,0,263694,345973,true
ranges,5,14,3404588599,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,394660,0,119607,173231,true
powers,5,9,3313543896,^x?x$,^x?x$,2,13,168493,0,120315,712345,true
aman-aplan,5,28,8801535107,^k|mu|x|^r|^t|e[i-l]|[a-d]$,^k|mu|x|^r|^t|e[i-l]|[a-d]$,15,36,318090,0,34351,265792,true
ranges,5,15,2330977742,^[a-f][a-e]\w[a-f],^[a-f][a-e]\w[a-f],21,42,11328,0,2308,189657,true
