Nome,Depth,i,seed,regex,Melhor_bartoli,Melhor_nosso,Tempo,Tempo_total,Timed_out
backrefs,5,23,1068243795,t|al|r.?.?$,10,31,54022228267,31908,false
balance,5,8,2463075891,^<<(<<).>>|.>>>$,24,56,21256217923,53221,false
backrefs,5,24,1764028593,f[^]f|ba|^m|^t|^an?|ou|l$,11,32,781065579,32986,false
balance,5,9,9135874206,^<>$|>>$,22,54,50253839345,45705,false
backrefs,5,25,3857069214,^al|f|v|t|r.?$,10,31,45172623595,31189,false
backrefs,5,26,9125784630,ro|^t|^m|la?$,11,32,30712916829,32017,false
balance,5,10,7095231486,(>\1).<[^>](<.)(|^<|..)\1>>,24,56,17329515735,55581,false
backrefs,5,27,7914823056,r[^]u|t|^a|r..?$,11,32,40355222266,33626,false
backrefs,5,28,1258360497,rp|^f|[^s]on|..[^p]t,12,33,827415766,32408,false
balance,5,11,9842301657,((>)\1).<(.>?[^>]<).>><?\1|^<>$,25,57,27264522188,50502,false
backrefs,5,29,7965023841,[^]..u|^t|l$,10,31,29838920173,35564,false
balance,5,12,2196735084,<<(>>)\1....,23,55,21596724876,58800,false
abba,5,1,4105328976,z|[^c]h|.u|t$,17,39,34436223376,40315,false
balance,5,13,9067852413,(<)\1.(>[^<]>.<)\1.,25,57,32309826892,47330,false
abba,5,1,6370951248,ph|z|st|[^u]u|t$,18,40,33673122157,46971,false
balance,5,14,2405681973,^<>$|>>$,22,54,49068637111,44908,false
abba,5,2,9431657082,z|te|[^c](h|u)|t$\1,19,41,43320426017,41783,false
balance,5,15,2738495106,<<.>>>.<<.,25,57,13873418017,55175,false
abba,5,3,1874029365,te|ph|z|.u|t$,18,40,30662232049,54628,false
abba,5,4,5691784320,^v|z|ph|^n|.u|oid$,18,40,26776022095,42236,false
balance,5,16,1069782534,(<)<.(>>[^<]).\1\1.,25,57,46870448362,60629,true
abba,5,5,8392760514,z|it|[^c]h|u,17,39,1047726516,37518,false
balance,5,17,3018795246,<<>?..(>)()?>..<.\1|^<>$,26,58,30600929455,56659,false
abba,5,6,4612780539,z|uw|[^c](h|u)|^p|t$\1,18,40,190741360,39002,false
balance,5,18,1736058429,.<<..>>.<<.,23,55,56851546315,48752,false
abba,5,7,8261384957,z|t\1e|[^c](h|u),18,40,38507926017,39783,false
balance,5,19,6087432195,..[^<].(>)\1<(<.).,24,56,49317947034,54675,false
abba,5,8,2463075891,[^]e.o|z|.u|^ac|..h|ver|t$,20,42,59367146862,48174,false
abba,5,9,9135874206,[^c]h|it|u|z.$,17,39,246301391,39518,false
balance,5,20,4925731068,((<))\1.>[^<]>(.)\1\1.,25,57,41326333158,56127,false
abba,5,10,7095231486,^z|p|ph|[^d]u|t(ltz|e|)$,18,40,26045417532,44799,false
balance,5,21,3486027915,(<)<..?(>>[^<].|(^><)\1$)<\1.,25,57,46771444424,55581,false
abba,5,11,9842301657,[^c]z|h|ry|u|it,18,40,1056677282,41221,false
balance,5,22,6941372580,(<\1)\1.(^>()\1>.|>>>.\1<.),25,57,635444672,47909,false
abba,5,12,2196735084,[^c]z|h|te|.u,18,40,40814524970,36361,false
abba,5,13,9067852413,z|no|[^c](h|u)|t$\1,18,40,43770232580,41611,false
balance,5,23,1068243795,..>\1.>(^|>(<[^>])\1)..,24,56,1160479235,50487,false
abba,5,14,2405681973,z|\1^n|p.i|.u|t(e|())$,17,39,39874635721,48221,false
