Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
powers,3,17,3018795246,^x?(\b)(xxxx|$)+\1\b\1,6,17,325069,125631,370298,true
anchors,5,9,9135874206,tdd^k|$,21,42,19922,3797,98646,true
aman-aplan,5,2,9431657082,x|^r|^t|^[i-n]|d[^]u|l[l-r]|[a-d]$,16,37,493816,94598,117787,true
triples,3,18,1736058429,60|[012]7|2$|9$|6$|3[0-9][0-7],12,33,52297,10454,113772,true
anchors,5,10,7095231486,k$,21,42,515852,86974,100912,true
aman-aplan,5,3,1874029365,[^]x|^r|^t|^[h-k]|v|d|hdc,12,33,166916,29892,117694,true
triples,3,19,6087432195,^81|[1-8][4-7][34][0-7]|47$|[01]0,14,35,379184,74364,118663,true
anchors,5,11,9842301657,[^]gek|k$,21,42,23151,4516,110553,true
powers,3,18,1736058429,(^x*)\1$,6,17,484184,194243,245527,true
aman-aplan,5,4,5691784320,x|^t|^[i-n]|^r|[a-d]\b|[ab]h$,15,36,539584,97052,111522,true
triples,3,20,4925731068,^[2-7]1|4[789][2-6]|([0-7])\1[3-9],13,34,122587,22188,118053,true
anchors,5,12,2196735084,tk|g$,21,42,238946,41533,107131,true
aman-aplan,5,5,8392760514,^[i-n]|^[rst][e-o]|p[e-r]ld|[a-d]$,15,36,506087,88849,105662,true
triples,3,21,3486027915,2[^0][34]|[789][0-9][0-8][567]\B|0[012][2-9]?$,15,36,361639,67691,133913,true
anchors,5,13,9067852413,k$,21,42,576168,93083,97708,true
aman-aplan,5,6,4612780539,x|v|p^tnxr|^r|d|^t|n|k$,11,32,127735,22282,110959,true
triples,3,22,6941372580,0[012]|4\w2|50|8$,11,32,13894,2953,128943,true
anchors,5,14,2405681973,hak|c$,21,42,259659,43564,98677,true
aman-aplan,5,7,8261384957,[kl]a|^m|^cr|^[i-t][e-o]|[a-d]$,16,37,205862,37033,108131,true
powers,3,19,6087432195,^x?x?(^xxxx)?\1*$,7,18,461492,245683,340313,true
anchors,5,15,2738495106,pa[^]a^k|k$,21,42,318852,55956,99396,true
triples,3,23,1068243795,^39|0[012]|43|[0-3]7|55|5[67]2$,13,34,442646,85552,118819,true
aman-aplan,5,8,2463075891,x|^r|^t|^[i-n]|a(^k[^o]|o)\1v|[a-d]$,14,35,431395,90457,127021,true
anchors,5,16,1069782534,k$,21,42,213017,35142,105536,true
triples,3,24,1764028593,0[012]|5[1-7][0-8],11,32,84792,14750,137992,true
aman-aplan,5,9,9135874206,x|^r|^t|^[i-n]|l^kgr|[a-d]$,14,35,145774,25907,114037,true
powers,3,20,4925731068,xxxx^x|^(x*x?)\1$,6,17,422816,152351,239933,true
anchors,5,17,3018795246,k$,21,42,589223,98084,99865,true
triples,3,25,3857069214,8^20|750|09$|66|4\w[0-4]|[0-7][0-7][2-6]$,14,35,387106,75254,120366,true
aman-aplan,5,10,7095231486,x|^r|^t|^[h-k]|v|d|mc,12,33,111566,20454,113522,true
anchors,5,18,1736058429,l[a-e]M|k$,21,42,606115,105895,105895,true
triples,3,26,9125784630,[^6]2\w*9|^0|[1-8][4-7][34][0-7],13,34,178290,31736,140100,true
aman-aplan,5,11,9842301657,[^]x|v|bblr|^r|d|^t|n|k$,11,32,127811,23548,120427,true
anchors,5,19,6087432195,l^Rk|s$,21,42,1209,687,111053,true
powers,3,21,3486027915,(^x*?)\1$,6,17,93923,38658,287451,true
anchors,5,20,4925731068,nq^k|w$,21,42,178559,29532,95943,true
aman-aplan,5,12,2196735084,x|\b[n-t][e-o]|v|d|k[e-o],13,34,378761,68441,107521,true
triples,3,27,7914823056,^0*6|[^07][0-6]7|[12]4\B|^3[789]|8[4-7]3|\B$,15,36,336379,74723,130679,true
anchors,5,21,3486027915,k$,21,42,266289,45002,97427,true
aman-aplan,5,13,9067852413,hl|u[^t]h|xx|^[rst][e-o]|^[i-n]|[a-d]$,16,37,273200,49768,115053,true
triples,3,28,1258360497,0[012]|5[1-7][0-8],11,32,400105,72457,106662,true
anchors,5,22,6941372580,^k$|k$,21,42,386690,69238,105037,true
aman-aplan,5,14,2405681973,x|^t|^[i-n]|ah|ad|\br|[a-d]$,15,36,334267,64426,120475,true
triples,3,29,7965023841,[^0]94|1[234]\w[0-4]|8[0-7]4|[0-7][0-7][0-6]$,12,33,417207,78364,118850,true
powers,3,22,6941372580,xxxxx(xx[^]x)\1x.x|^xx?$,3,14,475647,265560,343751,true
anchors,5,23,1068243795,k$,21,42,13761,2750,104256,true
aman-aplan,5,15,2738495106,v|^r|^[e-k]|d|[^]y^|e[t-x],11,32,298712,50283,106099,true
triples,5,1,4105328976,2[^]9|^81|00|17|2[234]|6$,12,33,489666,97428,123037,true
anchors,5,24,1764028593,gk|e$,21,42,869,562,98457,true
aman-aplan,5,16,1069782534,x|^r|^[i-n]|[n-r]l|[^s]t$|[a-d]$,15,36,251317,44221,110490,true
triples,5,1,6370951248,30|9[01]|^0|[1-8][1-7][34],12,33,477256,84114,105100,true
anchors,5,25,3857069214,rwk|a$,21,42,1212,640,104553,true
triples,5,2,9431657082,0[012]|[1-9]5[0-8][0-7],13,34,67102,11563,108178,true
aman-aplan,5,17,3018795246,[^n](k|v|d)|^[e-t]e|l[l-r][a-o]\1,14,35,210553,38080,125273,true
powers,3,23,1068243795,^x?x$,2,13,162399,76144,300373,true
anchors,5,26,9125784630,^sck|r$,21,42,1211,656,100099,true
aman-aplan,5,18,1736058429,x|^r|^t|^[h-k]|v|d,12,33,305127,55065,108491,true
triples,5,3,1874029365,6$|4[^3]2|00|9[01][2-5]\B|[34][0-7][2-7][3-7],16,37,257479,52299,122788,true
anchors,5,27,7914823056,gk|R$,21,42,587302,96130,98068,true
aman-aplan,5,19,6087432195,x|^r|^t|^[i-n]|a^pr|[a-d]$,14,35,145754,25735,111912,true
anchors,5,28,1258360497,h^sdk|r$,21,42,559946,94646,102287,true
triples,5,4,5691784320,^87|42[^7]|00|[1-5][1-8][3-9][0-5][0-8][2-9]*$,15,36,494475,114740,147680,true
aman-aplan,5,20,4925731068,[^]x|^r|^t|^[h-k]|v|d|o[no][e-r],14,35,289995,51440,103756,true
anchors,5,29,7965023841,k$,21,42,567578,89896,96130,true
powers,3,24,1764028593,^x?x$,2,13,276197,176322,357610,true
triples,5,5,8392760514,^44|0[012]|5[3-8],11,32,63835,11594,119069,true
