Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
order,5,27,7914823056,[a-d]e|c[^eu][op][o-y]|[f-t][f-t][o-z][o-z]$,21,42,294501,-20407,42189,false
anchors,5,11,9842301657,[^]n^k|k$,21,42,581508,-31611,32783,false
order,5,28,1258360497,^[a-o][cde][c-l]|y[^]l|[f-o][op][o-y]|[st][yz],21,42,464180,-26923,37783,false
anchors,5,12,2196735084,tk|g$,21,42,209196,-9219,32830,false
anchors,5,13,9067852413,k$,21,42,506960,-22673,26845,false
order,5,29,7965023841,^[a-o][c-o][c-t][e-t],20,41,155024,-7454,43674,false
anchors,5,14,2405681973,bk|t$,21,42,587923,-25813,26345,false
anchors,5,15,2738495106,[ijk]$,21,42,251717,-12360,30423,false
triples,5,1,4105328976,8292|8[^1][345]|^81|0[012][2-9]|[012]7|24|00$,15,36,487481,-44221,54862,false
anchors,5,16,1069782534,k$,21,42,187335,-7719,31361,false
triples,5,1,6370951248,30|9[01]|^0|[1-8][1-7][34],12,33,391357,-23204,37893,false
anchors,5,17,3018795246,k$,21,42,527670,-25486,27705,false
anchors,5,18,1736058429,M^k|o$,21,42,560298,-30080,32470,false
triples,5,2,9431657082,06|2[234][3-7]|4^28\1|[1-7][1-8]7[0-6]|0[0-4]$,15,36,377046,-42346,60957,true
anchors,5,19,6087432195,l^Rk|s$,21,42,261,-47,37689,false
anchors,5,20,4925731068,nq^k|w$,21,42,155865,-7110,23689,false
triples,5,3,1874029365,72$|7[^4]0|00|9[01][2-5][0-8]|[34][0-7][2-7][0-7],15,36,245940,-22798,61973,true
anchors,5,21,3486027915,k$,21,42,234271,-11203,26110,false
anchors,5,22,6941372580,^k$|k$,21,42,340326,-19220,30080,false
triples,5,4,5691784320,4[^]2|[12]4|[01]0[0-6]|7[3-9][0-7][345],14,35,196797,-16595,62051,true
anchors,5,23,1068243795,k$,21,42,18181,-828,31704,false
anchors,5,24,1764028593,k$,21,42,549668,-23861,25267,false
triples,5,5,8392760514,09$|2[34]|[0-3]7|[0-8](7|[01])[2-6]\1?$,15,36,506927,-41455,53768,false
anchors,5,25,3857069214,rwk|a$,21,42,264,-31,29877,false
triples,5,6,4612780539,4[^5][23]|(7|[0-6][01])[2-6][0-8]?$,14,35,349339,-21970,40518,false
anchors,5,26,9125784630,^sck|r$,21,42,263,-31,25642,false
anchors,5,27,7914823056,gk|R$,21,42,516166,-23204,26908,false
triples,5,7,8261384957,[^]7^6|1[789][0-5]|0[56]|[0-5][1-7]2|9?[456]$,12,33,94913,-7844,59956,false
anchors,5,28,1258360497,k$,21,42,571683,-27986,28876,false
anchors,5,29,7965023841,k$,21,42,150123,-5235,22970,false
triples,5,8,2463075891,[01]2|[01][^][67]|0^|5[1-7][0-8],13,34,114322,-9001,45893,false
ranges,5,1,4105328976,[a-f][a-f][a-f][a-f]$,21,42,275995,-17751,43643,false
triples,5,9,9135874206,32|^06|24|210|[4-9][0-5][2-5][0-8][1-9][0-7]|6$,14,35,407782,-31377,45690,false
ranges,5,1,6370951248,^[a-f][a-e][a-f][a-f],21,42,488777,-36627,44549,false
triples,5,10,7095231486,[1-8][^8]4|11[0-3]4|00|[2-7](4|)[0-7][0-6]$,14,35,152743,-15095,60395,true
ranges,5,2,9431657082,^[a-f][a-e][a-f][a-f],21,42,146405,-9907,49846,false
triples,5,11,9842301657,[0-8][^43]0|72|[1-8][2-7][34],13,34,415127,-32017,53659,false
ranges,5,3,1874029365,[a-f][a-f][a-f][a-f]$,21,42,454059,-36549,47659,false
triples,5,12,2196735084,06|[0-4]9|[0-5][0-4]1[567]|3[0-6][0-8]|2$,14,35,114429,-8922,43877,false
ranges,5,4,5691784320,[a-f][a-f][a-f][a-f],21,42,218794,-14220,41955,false
ranges,5,5,8392760514,[a-f][a-e][a-f][a-f],21,42,412026,-27142,37455,false
triples,5,13,9067852413,^[0-4]?(9|4|)0|[2-9][456][345],12,33,132689,-8203,60081,true
ranges,5,6,4612780539,[a-f][a-f][a-f][a-f]$,21,42,4784,-328,52315,false
triples,5,14,2405681973,[3-9]5[0-8][0-7]|090^0|0[012]|6[1-7]8[0-8]$,13,34,409861,-42971,56581,false
ranges,5,7,8261384957,^[a-f][a-e][a-f][a-f],21,42,598657,-56175,56284,false
triples,5,15,2738495106,^0|2[34]|9[01]|[0-3]7,12,33,38625,-2047,49331,false
ranges,5,8,2463075891,[a-f][a-f][a-f][a-f]$,21,42,364822,-22287,39428,false
