Nome,Depth,i,seed,Melhor_solucao,Melhor_solucao_shrunk,Melhor_fitness,Maximo_fitness,Matches_on_left,Matches_on_right,Numero_de_comparacoes,Numero_total_de_comparacoes,Tempo_para_encontrar_melhor_solucao,Tempo_total,Timed_out
warmup,5,23,4560422870,f.o,f.o,207,210,21,0,61230,400000,9532,46739,false
anchors,5,21,5217407358,k$,k$,208,210,21,0,234714,400000,30269,48299,false
ranges,5,20,9935136846,^[a-f]*$,^[a-f]*$,202,210,21,0,14767,400000,2692,44552,false
backrefs,5,15,2330977742,[e-y].[e-h][^le][a-t],[e-y].[e-h][^el][a-t],129,210,16,1,342438,400000,52443,61308,false
warmup,5,24,5236888092,foo,foo,207,210,21,0,3215,400000,1131,43242,false
anchors,5,22,5619256299,k$,k$,208,210,21,0,355254,400000,42168,46391,false
ranges,5,21,5217407358,^[a-f]*$,^[a-f]*$,202,210,21,0,82423,400000,11714,47039,false
warmup,5,25,1337360711,foo,foo,207,210,21,0,8684,400000,2048,44388,false
backrefs,5,16,6361187489,[^w][efg].[a-t],w[efg].[a-t],115,210,15,2,166875,400000,26124,57237,false
anchors,5,23,4560422870,k$,k$,208,210,21,0,205804,400000,24175,45914,false
ranges,5,22,5619256299,^[a-f]*$,^[a-f]*$,202,210,21,0,8900,400000,2326,48344,false
warmup,5,26,7659837985,f.o,f.o,207,210,21,0,4479,400000,1397,47078,false
backrefs,5,17,2805026820,[e-h][a-u][a-t].[f-y],[e-h][a-u][a-t].[f-y],119,210,17,3,328384,400000,42043,51058,false
anchors,5,24,5236888092,k$,k$,208,210,21,0,73141,400000,10963,47117,false
ranges,5,23,4560422870,^[a-f]*$,^[a-f]*$,202,210,21,0,52588,400000,8798,48593,false
warmup,5,27,2521100877,foo,foo,207,210,21,0,3193,400000,923,48781,false
backrefs,5,18,4323456912,[d-m][b-u][a-r]*[tuv],[d-m][b-u][a-r]*[tuv],109,210,15,2,318656,400000,39194,51284,false
anchors,5,25,1337360711,k$,k$,208,210,21,0,3704,400000,1160,45821,false
ranges,5,24,5236888092,^[a-f]*$,^[a-f]*$,202,210,21,0,21820,400000,4020,47075,false
warmup,5,28,8801535107,foo,foo,207,210,21,0,3192,400000,959,47456,false
backrefs,5,19,8361101999,[e-h][^ld][a-t].[b-u],[e-h][^dl][a-t].[b-u],129,210,17,2,81876,400000,12961,51477,false
anchors,5,26,7659837985,k$,k$,208,210,21,0,55910,400000,7477,48200,false
ranges,5,25,1337360711,^[a-f]*$,^[a-f]*$,202,210,21,0,14019,400000,2914,48038,false
warmup,5,29,9651599436,foo,foo,207,210,21,0,4103,400000,1312,46433,false
anchors,5,27,2521100877,k$,k$,208,210,21,0,49060,400000,7095,46202,false
backrefs,5,20,9935136846,[e-t][b-u].[o-v][e-y],[e-t][b-u].[o-v][e-y],129,210,18,3,95047,400000,13850,52597,false
ranges,5,26,7659837985,^[a-f]*$,^[a-f]*$,202,210,21,0,203201,400000,25861,45982,false
warmup,5,1,2967301147,foo,foo,207,210,21,0,3241,500000,1074,54469,false
anchors,5,28,8801535107,k$,k$,208,210,21,0,219344,400000,27117,46336,false
backrefs,5,21,5217407358,[^w][d-g][^i][^z][^m],w[d-g]izm,119,210,16,2,392931,400000,52041,53103,false
ranges,5,27,2521100877,^[a-f]*$,^[a-f]*$,202,210,21,0,64818,400000,9876,47672,false
anchors,5,29,9651599436,k$,k$,208,210,21,0,239379,400000,28567,45450,false
warmup,5,1,5600405384,foo,foo,207,210,21,0,2817,500000,934,54716,false
backrefs,5,22,5619256299,[e-u][e-t].[e-v][l-y].,[e-u][e-t].[e-v][l-y].,118,210,17,3,132480,400000,16812,59888,false
ranges,5,28,8801535107,^[a-f]*$,^[a-f]*$,202,210,21,0,21276,400000,3675,46177,false
anchors,5,1,2967301147,k$,k$,208,210,21,0,58709,500000,8338,58915,false
warmup,5,2,1632819610,foo,foo,207,210,21,0,37382,500000,6361,62725,false
backrefs,5,23,4560422870,[d-t][^loa].[o-v],[d-t][^alo].[o-v],123,210,19,5,111538,400000,16430,54801,false
ranges,5,29,9651599436,^[a-f]*$,^[a-f]*$,202,210,21,0,7066,400000,1937,45756,false
anchors,5,1,5600405384,k$,k$,208,210,21,0,5358,500000,1418,59002,false
warmup,5,3,1412034944,foo,foo,207,210,21,0,3675,500000,1077,53907,false
backrefs,5,24,5236888092,[e-h][a-u][a-t][^s][f-y],[e-h][a-u][a-t]s[f-y],126,210,17,2,222424,400000,30315,53926,false
ranges,5,1,2967301147,^[a-f]*$,^[a-f]*$,202,210,21,0,94680,500000,12559,56184,false
warmup,5,4,9724161943,f.o,f.o,207,210,21,0,5797,500000,1589,56616,false
anchors,5,2,1632819610,k$,k$,208,210,21,0,169604,500000,22545,60207,false
backrefs,5,25,1337360711,[^upd][b-u][a-h][l-y][h-u],[^dpu][b-u][a-h][l-y][h-u],114,210,15,1,49141,400000,8935,54763,false
ranges,5,1,5600405384,^[a-f]*$,^[a-f]*$,202,210,21,0,17915,500000,3232,59106,false
warmup,5,5,4037724866,foo,foo,207,210,21,0,4133,500000,1218,58563,false
anchors,5,3,1412034944,k$,k$,208,210,21,0,214083,500000,26182,57874,false
backrefs,5,26,7659837985,g?[f-t][b-r][a-u][l-v],g?[f-t][b-r][a-u][l-v],108,210,19,6,90180,400000,14553,54007,false
ranges,5,2,1632819610,^[a-f]*$,^[a-f]*$,202,210,21,0,21615,500000,3870,58350,false
warmup,5,6,8370032799,foo,foo,207,210,21,0,72634,500000,9655,54812,false
backrefs,5,27,2521100877,[^gr][tgmu][d-s]{2},[^gr][gmtu][d-s]{2},131,210,16,1,40239,400000,6114,47505,false
anchors,5,4,9724161943,k$,k$,208,210,21,0,329764,500000,41962,61646,false
ranges,5,3,1412034944,^[a-f]*$,^[a-f]*$,202,210,21,0,156653,500000,20268,58071,false
warmup,5,7,2767986875,foo,foo,207,210,21,0,2331,500000,842,53262,false
backrefs,5,28,8801535107,[a-u][a-l].[m-r][^gz],[a-u][a-l].[m-r][^gz],129,210,18,3,199053,400000,32187,62069,false
anchors,5,5,4037724866,k$,k$,208,210,21,0,95442,500000,12486,57054,false
ranges,5,4,9724161943,^[a-f]*$,^[a-f]*$,202,210,21,0,64285,500000,9770,60427,false
warmup,5,8,3141506592,foo,foo,207,210,21,0,4134,500000,1272,54208,false
backrefs,5,29,9651599436,[e-h][bc]?[e-u][a-t].[l-y],[e-h][bc]?[e-u][a-t].[l-y],124,210,15,0,339294,400000,47633,54879,false
anchors,5,6,8370032799,k$,k$,208,210,21,0,14766,500000,2788,59541,false
ranges,5,5,4037724866,^[a-f]*$,^[a-f]*$,202,210,21,0,87076,500000,11989,58787,false
warmup,5,9,3313543896,foo,foo,207,210,21,0,3243,500000,995,52673,false
anchors,5,7,2767986875,k$,k$,208,210,21,0,1590,500000,578,58877,false
backrefs,5,1,2967301147,[^cw][e-h].[a-t].,[^cw][e-h].[a-t].,123,210,16,2,59527,500000,9003,65723,false
ranges,5,6,8370032799,^[a-f]*$,^[a-f]*$,202,210,21,0,61363,500000,9785,59607,false
warmup,5,10,8657690939,foo,foo,207,210,21,0,11619,500000,2712,59803,false
anchors,5,8,3141506592,k$,k$,208,210,21,0,260889,500000,32079,59865,false
backrefs,5,1,5600405384,^[^gdnkw][a-u][d-t],^[^dgknw][a-u][d-t],121,210,19,5,138761,500000,19937,64789,false
