Nome,Depth,i,seed,regex,regex_shrunk,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
anchors,1,16,1069782534,lot^qk|h$,lot^qk|h$,21,42,376629,65535,112100,true
triples,1,5,8392760514,[01]0|60|5[1-5]|31|9[^3]1|7$,[01]0|60|5[1-5]|31|9[^3]1|7$,12,33,254521,50862,117975,true
aman-aplan,1,15,2738495106,x|^r|^t|^[h-k]|v|d,x|^r|t|[h-k]|v|d,12,33,94750,15922,121053,true
anchors,1,17,3018795246,a^l[c-l]k|k$,a^l[c-l]k|k$,21,42,173730,30064,106740,true
triples,1,6,4612780539,0[^][56]|8^5|957|[0-6][0-5]2|[0-5][0-8][67][3-6],0.[56]|8^5|957|[0-6][0-5]2|[0-5][0-8][67][3-6],15,36,346937,65972,116880,true
aman-aplan,1,16,1069782534,e^x|et$|^k|^[e-s][e-o]|rd|[a-d]$,e^x|et$|k|[e-s][e-o]|rd|[a-d]$,15,36,378560,68363,119491,true
anchors,1,18,1736058429,k$,k$,21,42,581879,97552,101334,true
powers,1,26,9125784630,^xx(x*)\1$,^xx(x*)\1$,6,17,440544,344594,395128,true
aman-aplan,1,17,3018795246,bx|^^[i-n]|^[rst][e-o]|ud|[a-d]$,bx|^^[i-n]|^[rst][e-o]|ud|[a-d]$,15,36,261149,46534,108647,true
triples,1,7,8261384957,^7[^9]5|[5-9]5[0-8]|0[567]|[01]2|[56]$,^7[^9]5|[5-9]5[0-8]|0[567]|[01]2|[56]$,13,34,589011,134365,140334,true
anchors,1,19,6087432195,k$,k$,21,42,275632,45424,96490,true
anchors,1,20,4925731068,^wu[c-s]k|k$,^wu[c-s]k|k$,21,42,534522,88364,98473,true
aman-aplan,1,18,1736058429,^[a-t]v|e|([a-r])\1[a-n]|d|[o-r]r$,^[a-t]v|e|([a-r])\1[a-n]|d|[o-r]r$,13,34,308318,56471,116803,true
triples,1,8,2463075891,4^6|[01]0|[01][0-4][2-8][1-7][0-3]|5[1-7][0-8]+$,4^6|[01]0|[01][0-4][2-8][1-7][0-3]|5[1-7][0-8]+$,14,35,229209,48736,142882,true
anchors,1,21,3486027915,^kk|b$,^kk|b$,21,42,123164,20016,102177,true
aman-aplan,1,19,6087432195,^b|ke|[e-r]d|a[h-k]|[n-x][e-o]\w$,^b|ke|[e-r]d|a[h-k]|[n-x][e-o]\w$,17,38,282291,49236,113068,true
powers,1,27,7914823056,(^x*)\1$,{0}(^x*)\1$,6,17,127469,49549,328157,true
triples,1,9,9135874206,2^1|[12]4|[1-9][1-8]7|[0-3][0-6][2-6]$,2^1|[12]4|[1-9][1-8]7|[0-3][0-6][2-6]$,13,34,436015,79738,108192,true
anchors,1,22,6941372580,k$,k$,21,42,269257,45111,98177,true
aman-aplan,1,20,4925731068,[a-d]$|k^i|a[h-k]|\b[i-t][e-o],[a-d]$|k^i|a[h-k]|\b[i-t][e-o],15,36,308435,51908,114380,true
triples,1,10,7095231486,00|[^817]4|1^7|[2-7][0-7][0-6]$,00|[^1-8]4|1^7|[2-7][0-7][0-6]$,13,34,244395,49143,129226,true
anchors,1,23,1068243795,rrk|r$,rrk|r$,21,42,871,562,99833,true
aman-aplan,1,21,3486027915,^r|^t|^[h-k]|x|v|d|oo,^r|t|[h-k]|x|v|d|oo,14,35,310104,53252,103506,true
triples,1,11,9842301657,[^]0^2|2[34]|[01]0[0-6]|5[45]|[5-8][78][0-6]$,.0^2|2[34]|[01]0[0-6]|5[45]|[5-8][78][0-6]$,15,36,499017,94333,114991,true
anchors,1,24,1764028593,gk|k$,gk|k$,21,42,23046,4141,104444,true
aman-aplan,1,22,6941372580,^[n-t][e-o]|^k|^m|[a-o][e-r]v|d$,^[n-t][e-o]|k|m|[a-o][e-r]v|d$,16,37,227407,39705,106975,true
anchors,1,25,3857069214,oi^k|c$,oi^k|c$,21,42,564577,94943,101381,true
powers,1,28,1258360497,(^x*)\1$,(^x*)\1$,6,17,137967,145961,387488,true
triples,1,12,2196735084,0[012]|[^2]5[1-7][0-8],0[012]|[^2]5[1-7][0-8],12,33,366018,69739,136178,true
aman-aplan,1,23,1068243795,^[h-t][a-o]|[a-d]$,^[h-t][a-o]|[a-d]$,13,34,300566,51221,102896,true
anchors,1,26,9125784630,cbk|r$,cbk|r$,21,42,871,656,100427,true
aman-aplan,1,24,1764028593,^r|^t|^[i-n]|n[^]le|[vwx][e-l][e-t]|[a-d]$,^r|^t|^[i-n]|n[^]le|[vwx][e-l][e-t]|[a-d]$,14,35,529954,95817,113084,true
triples,1,13,9067852413,4[0-3]|94^83|736|[01]0[2-6]|8[^7][34]|2$,4[0-3]|94^83|736|[01]0[2-6]|8[^7][34]|2$,13,34,154599,33814,157618,true
anchors,1,27,7914823056,^lk|k$,^lk|k$,21,42,115555,19673,100333,true
aman-aplan,1,25,3857069214,^[h-k]|d|\b[n-t][e-o]|v,^[h-k]|d|\b[n-t][e-o]|v,13,34,122871,20969,107834,true
triples,1,14,2405681973,23|6[3-6]|[45]4|[0-8][0-7][2-6]$,23|6[3-6]|[45]4|[0-8][0-7][2-6]$,13,34,313057,65582,128179,true
